h3,counts,min_depth,max_depth,salinity,min_salinity,max_salinity,temperature,min_temperature,max_temperature,oxygen,min_oxygen,max_oxygen,latitude,longitude
84dea13ffffffff,3,3669.0,3669.0,,,,,,,,,,-55.20905,-44.27186
84dea9dffffffff,1,2662.0,2662.0,,,,,,,,,,-53.39223,-45.50069
84deaa1ffffffff,10,206.0,398.0,,,,,,,,,,-53.61084,-42.7487
84deaa3ffffffff,11,466.0,466.0,,,,,,,,,,-53.25568,-43.01036
84deaa5ffffffff,11,149.0,188.0,,,,,,,,,,-53.65572,-42.0543
84deaa7ffffffff,8,312.0,312.0,,,,,,,,,,-53.30176,-42.32393
84deab9ffffffff,3,2130.0,2130.0,,,,,,,,,,-53.15195,-44.37584
84deb09ffffffff,1,3141.0,3141.0,,,,,,,,,,-56.93584,-37.78342
84deb2dffffffff,1,3438.0,3438.0,,,,,,,,,,-56.6241,-35.05377
84deb37ffffffff,1,182.0,182.0,,,,,,,,,,-55.22791,-36.51264
84df00dffffffff,3,325.0,1437.0,,,,,,,,,,-62.11907,-60.8469
84df021ffffffff,18,179.0,356.0,,,,,,,,,,-61.77349,-58.54278
84df023ffffffff,3,3806.0,3806.0,,,,,,,,,,-61.36191,-58.64947
84df025ffffffff,11,35.0,380.0,,,,,,,,,,-61.92444,-57.70559
84df027ffffffff,1,317.0,317.0,,,,,,,,,,-61.51266,-57.82567
84df029ffffffff,30,101.0,133.0,,,,,,,,,,-62.03077,-59.27282
84df02dffffffff,61,15.0,529.0,,,,,,,,,,-62.18659,-58.43277
84df03bffffffff,1,3770.0,3770.0,,,,,,,,,,-60.6379,-60.34413
84df041ffffffff,2,400.0,554.0,,,,,,,,,,-62.60461,-62.37563
84df045ffffffff,2,183.0,183.0,,,,,,,,,,-62.77988,-61.54148
84df047ffffffff,1,317.0,317.0,,,,,,,,,,-62.36386,-61.60485
84df04dffffffff,1,773.0,773.0,,,,,,,,,,-63.0215,-62.32415
